# Number of vertices
414
-0.1387887,0.05204992,-0.1394828,		0.5478288,0.9767033
-0.1161171,0.2320457,-0.1269385,		0.2085223,0.4683193
-0.1357819,0.2305535,-0.1377033,		0.2466735,0.4712143
-0.1161171,0.2368741,-0.1451273,		0.2085223,0.4589519
-0.1161171,0.2375773,-0.1600629,		0.2085223,0.4575876
-0.1357819,0.220506,-0.1637851,		0.2466735,0.4907071
-0.1231204,0.2234831,-0.1689081,		0.516409,0.6329268
-0.1146044,0.08931536,-0.07900091,		0.2055875,0.7452258
-0.1161171,0.1898269,-0.1036471,		0.2085223,0.5502267
-0.1455737,0.1919435,-0.1151404,		0.2656702,0.5461202
-0.1455737,0.181211,-0.1589799,		0.5614349,0.7176952
-0.1322214,0.1785477,-0.1728551,		0.5346593,0.7230361
-0.149653,0.05204992,-0.112299,		0.2735843,0.8175234
-0.1202977,0.08832839,0.003891557,		0.6120118,0.3736362
-0.1106755,0.0570053,-0.01805294,		0.5558704,0.4738691
-0.1542601,0.0569327,-0.01785346,		0.5563806,0.4740549
-0.1448865,0.08832839,0.003891557,		0.612012,0.3736362
-0.152049,-0.0432373,0.01932834,		0.9528239,0.9831633
-0.1246928,-0.04313116,0.01914449,		0.9535646,0.9828178
-0.1556121,-0.04277441,0.0786261,		0.725465,0.9614824
-0.1460347,-0.02323148,0.08244708,		0.717365,0.8852174
-0.1318662,-0.02323148,0.08443673,		0.7127523,0.8751807
-0.1226208,-0.04277442,0.08040346,		0.7186458,0.9608859
-0.1501817,-0.04278398,0.09508491,		0.6623125,0.9559943
-0.1260314,-0.04278398,0.09863885,		0.661658,0.9015925
-0.1487689,-0.01505525,0.01906042,		0.6592101,0.626344
-0.1502297,-0.01952168,0.04789656,		0.7717426,0.6270041
-0.1276923,-0.01952168,0.04789656,		0.7717426,0.6270041
-0.1260981,-0.01505524,0.01890549,		0.6588138,0.626344
-0.1680417,0.2088494,-0.161224,		0.3092597,0.5133217
-0.1680417,0.2188969,-0.1333461,		0.3092597,0.493829
-0.1527981,0.1295442,-0.09409277,		0.8561455,0.6734636
-0.1527981,0.09301865,-0.1136391,		0.9700722,0.7628431
-0.1826571,0.09346803,-0.1144174,		0.952518,0.751559
-0.1826571,0.1248267,-0.0978542,		0.8759435,0.6991858
-0.1355303,0.1230142,-0.01417794,		0.643527,0.6727772
-0.1355303,0.0996559,-0.01417794,		0.643527,0.7616273
-0.1486609,0.09965591,-0.01507668,		0.6458895,0.7495643
-0.1486609,0.123,-0.01507669,		0.6458895,0.6989697
-0.1376492,0.1299907,0.01235187,		0.8132848,0.1919619
-0.1376492,0.09268369,0.01235188,		0.8132848,0.01283199
-0.1420943,0.0926837,0.01825344,		0.7849483,0.01283216
-0.1420943,0.129968,0.01825344,		0.7849484,0.1918529
-0.1198869,0.1209399,0.01305426,		0.6787109,0.1485046
-0.1198869,0.1017289,0.01305426,		0.6787109,0.05626297
-0.1194986,0.1017289,0.01727214,		0.6584588,0.05626297
-0.1194986,0.1209282,0.01727214,		0.6584588,0.1484485
-0.1148219,0.2498182,-0.1438912,		0.2060097,0.4338396
-0.1148219,0.2674892,-0.1588268,		0.2060097,0.3995566
-0.1123793,0.2808447,-0.1422966,		0.2012708,0.3736459
-0.1123793,0.2837893,-0.1569434,		0.2012708,0.3679332
-0.09161609,0.04417982,-0.08950163,		0.1609887,0.8327919
-0.04444346,0.05204992,-0.1394828,		0.3586373,0.9767033
-0.06711512,0.2320457,-0.1269385,		0.1134552,0.4683193
-0.04745027,0.2305535,-0.1377033,		0.07530408,0.4712143
-0.09161609,0.2320457,-0.1269385,		0.1609888,0.4683193
-0.06711511,0.2368741,-0.1451273,		0.1134552,0.4589519
-0.09161609,0.2391642,-0.1730687,		0.4532331,0.6014812
-0.06711512,0.2375773,-0.1600629,		0.1134552,0.4575876
-0.04745027,0.220506,-0.1637851,		0.07530411,0.4907071
-0.09161609,0.2234831,-0.1754999,		0.4532331,0.6329268
-0.06011176,0.2234831,-0.1689081,		0.3900572,0.6329268
-0.06862783,0.08931536,-0.07900091,		0.11639,0.7452258
-0.06711512,0.1898269,-0.1036471,		0.1134552,0.5502267
-0.03765848,0.1919435,-0.1151404,		0.05630734,0.5461202
-0.03765848,0.181211,-0.1589799,		0.3450314,0.7176952
-0.05101078,0.1785477,-0.1728551,		0.3718069,0.7230361
-0.0335792,0.05204992,-0.112299,		0.04839326,0.8175234
-0.06293445,0.08832839,0.003891557,		0.6120118,0.3736361
